id,date,sentence,growth_sentiment_final,employment_sentiment_final,inflation_sentiment_final
12275,2022-07-06,"Money market fund (MMF) net yields across all fund types rose notably, as increases in administered rates passed through to money market instruments.",neutral,neutral,neutral
12276,2022-07-06,Participants stressed the need to adjust the stance of policy in response to incoming information regarding the evolution of these and other factors.,neutral,neutral,neutral
12277,2022-08-17,They also agreed that the war and related events were creating additional upward pressure on inflation and were weighing on global economic activity.,negative,neutral,negative
12278,2022-10-12,They also agreed that the war and related events were creating additional upward pressure on inflation and were weighing on global economic activity.,negative,neutral,negative
12280,2022-11-23,They also agreed that the war and related events were creating additional upward pressure on inflation and were weighing on global economic activity.,negative,neutral,negative
12281,2006-04-18,Mining output--which includes oil and natural gas extraction--slipped in February after registering robust gains in each of the previous three months.,negative,neutral,neutral
12282,2006-07-20,Greater uncertainty about inflation pressures and the needed policy response had perhaps contributed to a reassessment of risks by investors globally.,negative,neutral,negative
12283,2006-11-15,"Still, the overhang of unsold homes remained historically high, and price appreciation of existing homes continued to slow through the second quarter.",negative,neutral,neutral
12284,2007-10-09,"In the multifamily sector, starts in July were in line with readings thus far this year and at the low end of the fairly narrow range seen since 1997.",negative,neutral,neutral
12285,2007-11-20,"The labor force participation rate was unchanged, on average, in the third quarter, and the unemployment rate ticked up to 4.7 percent in September.  ",neutral,negative,neutral
12286,2007-11-20,"Meeting participants also mentioned that while financial market conditions had improved, the functioning of some markets remained somewhat impaired.  ",neutral,neutral,neutral
12287,2008-04-08,"Commercial real estate lending at banks, however, continued to advance briskly in January and February, while the rise in consumer loans was moderate.",positive,neutral,neutral
12288,2008-07-16,"The increase in exports was broad-based, with strong increases in exports of industrial supplies, capital and consumer goods, and automotive products.",positive,neutral,neutral
12290,2008-08-26,"In the business sector, real spending on equipment and software declined in the second quarter as outlays on transportation equipment dropped sharply.",negative,neutral,neutral
12291,2008-08-26,"Over the intermeeting period, spreads of rates on conforming residential mortgages over those on comparable-maturity Treasury securities moved higher.",negative,neutral,neutral
12292,2008-11-19,"Business spending on equipment and software appeared to have declined again in the third quarter, and indicators of investment in structures weakened.",negative,neutral,neutral
12293,2008-11-19,Small time deposits increased briskly in September and early October as banks and thrifts reportedly continued to bid aggressively for these deposits.,neutral,neutral,neutral
12294,2008-11-19,"On October 22, the rate on excess reserves was adjusted to be the lowest target federal funds rate during the maintenance period less 35 basis points.",neutral,neutral,neutral
12295,2009-02-18,"Measures of longer-term inflation expectations edged up in early January, but remained lower than they had been in all but the last few weeks of 2008.",neutral,neutral,neutral
12296,2009-02-18,"Business debt expanded only modestly, given the high cost of borrowing, tighter lending terms, and the deterioration in the macroeconomic environment.",negative,neutral,neutral
12298,2009-04-08,"In light of this development, it was widely agreed that exports were not likely to be a source of support for U.S. economic activity in the near term.",neutral,neutral,neutral
12299,2010-01-06,"Moreover, monthly surveys of business conditions, sentiment, and capital spending plans pointed to a moderate rise in business spending going forward.",positive,neutral,neutral
12300,2010-01-06,"While these developments were positivee, participants noted several factors that likely would continue to restrain the expansion in economic activity.",neutral,neutral,neutral
12301,2010-02-17,"In the labor market, layoffs subsided noticeably in the final months of last year, but the unemployment rate remained elevated and hiring stayed weak.",neutral,negative,neutral
12302,2010-02-17,"Financial market conditions remained supportive of economic growth over the intermeeting period, and short-term funding markets were generally stable.",positive,neutral,neutral
12303,2010-02-17,"Members recognized that references to ""purchases"" of securities would need to be modified as the completion of the asset purchase programs draws near.",neutral,neutral,neutral
12304,2010-05-19,The staff noted that the Board had recently approved changes to Regulation D that would be necessary for the establishment of a term deposit facility.,neutral,neutral,neutral
12305,2010-05-19,"However, both new home sales and existing home sales were likely boosted, at least in part, by the anticipated expiration of the homebuyer tax credit.",neutral,neutral,neutral
12306,2010-08-31,"Financial stock prices moved about in line with broader indexes, and credit default swap spreads for large financial institutions narrowed moderately.",positive,neutral,neutral
12307,2010-10-12,"Indicators of household net worth were mixed; home prices moved down in July, while equity prices inched up, on balance, over the intermeeting period.",neutral,neutral,neutral
12308,2010-10-12,The interest rate for 30-year fixed-rate conforming mortgages remained essentially unchanged over the intermeeting period at a historically low level.,neutral,neutral,neutral
12309,2010-10-12,"Most other major categories of exports were little changed in July, although exports of automotive products posted their first decline since May 2009.",negative,neutral,neutral
12310,2011-04-05,"As a result, the rate of capacity utilization in manufacturing was essentially unchanged in January, and it remained well below its 1972-2010 average.",negative,neutral,neutral
12311,2011-04-05,"Household net worth rose in the fourth quarter, as the increase in equity values during that period more than offset the further fall in house prices.",positive,neutral,neutral
12312,2011-05-18,Several other participants preferred instead that the pace of sales be a key policy tool and be varied actively in response to changes in the outlook.,neutral,neutral,neutral
12313,2011-05-18,"Issuance of commercial mortgage-backed securities picked up in the first quarter, although commercial real estate loans at banks continued to run off.",neutral,neutral,neutral
12314,2011-11-22,"However, several participants noted that such thresholds could be confusing in the absence of a clear expression of the Committee's longer-term goals.",neutral,neutral,neutral
12315,2011-11-22,"The U.S. international trade deficit was virtually the same in August as it was in July, as both exports and imports moved down only by small amounts.",negative,neutral,neutral
12316,2011-11-22,"European bank CDS spreads remained elevated, and these institutions continued to face somewhat strained conditions in short-term bank funding markets.",negative,neutral,neutral
12317,2012-01-03,"Reductions in exports of industrial supplies and consumer goods, led by a few particularly volatile components, outweighed the gains in capital goods.",negative,neutral,neutral
12318,2012-02-15,"Broad equity price indexes increased more than 6 percent, on net, over the intermeeting period, and option-implied equity volatility declined notably.",positive,neutral,neutral
12319,2012-02-15,"The Committee also anticipates that over coming quarters, inflation will run at levels at or below those consistent with the Committee's dual mandate.",neutral,neutral,positive
12320,2012-04-03,"Consumer sentiment was little changed in February, and households remained downbeat about both the economic outlook and their own income and finances.",negative,neutral,neutral
12321,2012-04-03,"Gross public equity issuance by nonfinancial firms was still solid in January and February, boosted by continued strength in initial public offerings.",positive,neutral,neutral
12322,2012-04-03,"Consumer credit rose in recent months, with the growth in nonrevolving credit led by continued rapid expansion of government-originated student loans.",positive,neutral,neutral
12323,2012-05-16,"Inventories in most industries looked to be fairly well aligned with sales in recent months, although motor vehicle stocks were still relatively lean.",positive,neutral,neutral
12324,2012-07-11,"Indicators of funding market stresses remained muted, as many banks obtained funds from the European Central Bank (ECB) rather than interbank markets.",neutral,neutral,neutral
12325,2012-07-11,Several observed that recent declines in gasoline prices would increase households' real incomes and could boost consumer spending in coming quarters.,positive,neutral,positive
12326,2012-08-22,A number of participants expressed the view that structural changes in the labor market were not sufficient to explain the high level of unemployment.,neutral,negative,neutral
12327,2012-10-04,The staff also discussed the potential implications of additional asset purchases for the evolution of the Federal Reserve's balance sheet and income.,neutral,neutral,neutral
12328,2012-11-14,Participants saw recent price developments as consistent with inflation remaining at or below the Committee's 2 percent objective over the medium run.,neutral,neutral,positive
12329,2013-02-20,"Nonrevolving credit continued to increase at a robust pace because of growth in student and auto loans, while revolving credit moved roughly sideways.",positive,neutral,neutral
12330,2013-02-20,"In their discussion of monetary policy for the period ahead, members saw the economic outlook as relatively little changed since the previous meeting.",neutral,neutral,neutral
12331,2013-04-10,"The production of motor vehicles and parts rose considerably in February, and there were also widespread increases in factory output in other sectors.",positive,neutral,neutral
12332,2013-04-10,"This caution appeared to have resulted in jobs remaining vacant for substantially longer than would normally be the case, given the unemployment rate.",neutral,negative,neutral
12333,2013-05-22,"Consumer prices excluding food and energy were flat in March, and their increase from 12 months earlier was similar to that for total consumer prices.",neutral,neutral,neutral
12334,2013-07-10,"In May, nominal retail sales, excluding those at motor vehicle and parts outlets, increased briskly, while light motor vehicle sales moved up solidly.",positive,neutral,neutral
12335,2013-07-10,"Among the factors viewed as supporting consumption were improvements in household balance sheets and in the job market, as well as low interest rates.",positive,positive,neutral
12336,2013-07-10,"Although the manufacturing sector slowed considerably during the spring, contacts in several Districts reported that activity turned up more recently.",positive,neutral,neutral
12337,2013-07-10,Several participants worried that higher mortgage rates and bond yields could slow the recovery in the housing market and restrain business expansion.,negative,neutral,neutral
12338,2013-07-10,A couple of participants expressed concerns that some financial institutions might not be well positioned to weather a rapid run-up in interest rates.,negative,neutral,neutral
12339,2013-10-09,"The monetary base continued to expand rapidly, primarily reflecting the rise in reserve balances resulting from the Federal Reserve's asset purchases.",neutral,neutral,neutral
12340,2014-01-08,"The gains in exports were fairly widespread across categories and were led by sales of consumer goods, industrial supplies, and agricultural products.",positive,neutral,neutral
12342,2014-04-09,One participant voiced concern about high levels of margin debt and of equity market valuations as well as a notable shift into commodity investments.,negative,neutral,neutral
12343,2014-05-21,"Asset prices moved in response to economic data releases that were, on balance, a little stronger than expected and to Federal Reserve communications.",positive,neutral,neutral
12344,2014-11-19,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12345,2015-01-07,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12346,2015-01-07,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12347,2015-02-18,"However, reflecting in part the deterioration in market sentiment, the expected path for the federal funds rate implied by market quotes shifted down.",negative,neutral,neutral
12348,2015-02-18,Issuance of collateralized loan obligations declined but remained elevated; 2014 was the strongest year on record for the issuance of such securities.,positive,neutral,neutral
12349,2015-02-18,"However, other participants put some weight on the possibility that the decline in inflation compensation reflected a reduction in expected inflation.",neutral,neutral,positive
12350,2015-02-18,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12351,2015-02-18,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12352,2015-04-08,"The deputy manager followed with a review of System open market operations conducted during the period since the Committee met on January 27-28, 2015.",neutral,neutral,neutral
12353,2015-04-08,Real personal consumption expenditures (PCE) appeared to decelerate somewhat going into the first quarter after rising markedly in the fourth quarter.,negative,neutral,neutral
12354,2015-04-08,Both compensation per hour in the nonfarm business sector and the employment cost index rose 2-1/4 percent over the year ending in the fourth quarter.,neutral,positive,neutral
12355,2015-04-08,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12356,2015-04-08,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12357,2015-05-20,A number of reasons were advanced for believing that the weakness in spending observed during the first quarter was partly or even largely transitory.,negative,neutral,neutral
12358,2015-05-20,"Participants discussed downside risks to economic growth, and a few indicated that, in their assessment, such risks had risen since the March meeting.",negative,neutral,neutral
12359,2015-05-20,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12360,2015-05-20,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12361,2015-07-08,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12362,2015-07-08,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12363,2015-08-19,Spreads on 10-year triple-B-rated and speculative-grade corporate bonds over comparable-maturity Treasury securities widened somewhat over the period.,negative,neutral,neutral
12364,2015-08-19,The easing of lending standards for residential mortgages evidenced in the most recent SLOOS was cited as a factor likely to support further progress.,positive,neutral,neutral
12365,2015-08-19,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12366,2015-08-19,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12367,2015-10-08,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12368,2015-10-08,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12371,2015-11-18,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12372,2015-11-18,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12373,2016-01-06,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12374,2016-02-17,"For example, in the most recent projections, the median of FOMC participants' estimates of the longer-run normal rate of unemployment was 4.9 percent.",neutral,neutral,neutral
12375,2016-02-17,Some noted that the demand for ON RRPs could be reduced by widening the spread between the interest rate on reserves and the offering rate on ON RRPs.,neutral,neutral,neutral
12376,2016-02-17,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12377,2016-04-06,The surprisingly limited extent to which aggregate data indicated upward pressure on wage growth also suggested some remaining slack in labor markets.,neutral,negative,neutral
12378,2016-04-06,They expressed a range of views about the likelihood that incoming information would make an adjustment appropriate at the time of their next meeting.,neutral,neutral,neutral
12379,2016-04-06,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12381,2016-05-18,"However, for many other participants, the recent developments provided greater confidence that inflation would rise to 2 percent over the medium term.",neutral,neutral,positive
12382,2016-05-18,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12383,2016-07-06,"Inflation continued to run below the Committee's 2 percent objective, partly reflecting declines in energy prices and in prices of non-energy imports.",neutral,neutral,negative
12384,2016-07-06,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.",positive,neutral,neutral
12385,2016-11-23,"The expected path for the federal funds rate implied by quotes on overnight index swap rates steepened slightly, on net, over the intermeeting period.",neutral,neutral,neutral
12386,2017-01-04,"Likely in part because of the increase in mortgage rates, refinance originations decreased in November, but purchase originations were little changed.",negative,neutral,neutral
12387,2017-01-04,"The near-term forecast for consumer price inflation was somewhat higher than in the previous projection, reflecting recent increases in energy prices.",neutral,neutral,negative
12388,2017-02-22,"For example, in the most recent projections, the median of FOMC participants' estimates of the longer-run normal rate of unemployment was 4.8 percent.",neutral,neutral,neutral
12389,2017-04-05,"The rate of private-sector job openings was unchanged at a high level in December, while the rate of hiring edged up and the rate of quits edged down.",neutral,positive,neutral
12390,2017-04-05,"Total industrial production declined in January, as unseasonably warm weather reduced the demand for heating, which held down the output of utilities.",negative,neutral,neutral
12391,2017-10-11,"Interest rates on 30-year fixed-rate residential mortgages moved lower over the intermeeting period, in line with comparable-maturity Treasury yields.",positive,neutral,neutral
12392,2018-02-21,"For example, in the most recent projections, the median of FOMC participants' estimates of the longer-run normal rate of unemployment was 4.6 percent.",neutral,neutral,neutral
12393,2018-04-11,Financial markets experienced a notable bout of volatility early in the intermeeting period; volatility was particularly pronounced in equity markets.,negative,neutral,neutral
12394,2018-04-11,"In some Districts, reports from business contacts or evidence from surveys pointed to continuing shortages of workers in segments of the labor market.",neutral,positive,neutral
12395,2018-05-23,"Real GDP growth, which slowed in the first quarter, was expected to pick up in the second quarter and to outpace potential output growth through 2020.",positive,neutral,neutral
12396,2018-07-05,"Inflation pressures in the foreign economies generally remained subdued, even though higher oil prices put some upward pressure on headline inflation.",neutral,neutral,neutral
12397,2018-10-17,"In some cases, firms were coping with labor shortages by increasing salaries, benefits, or workplace amenities in order to attract and retain workers.",neutral,positive,neutral
12398,2018-10-17,"With regard to the postmeeting statement, members agreed to remove the sentence indicating that ""the stance of monetary policy remains accommodative.""",neutral,neutral,neutral
12399,2019-01-09,"The unemployment rates for African Americans, Asians, and Hispanics in November were below their levels at the end of the previous economic expansion.",neutral,positive,neutral
12400,2019-01-09,"Broad consumer credit grew at a solid pace through September, though October and November saw credit card growth at banks edge a bit lower on average.",neutral,neutral,neutral
12401,2019-01-09,"Participants commented on a number of risks associated with their outlook for economic activity, the labor market, and inflation over the medium term.",negative,negative,negative
12402,2019-02-20,"For example, in the most recent projections, the median of FOMC participants' estimates of the longer-run normal rate of unemployment was 4.4 percent.",neutral,neutral,neutral
12403,2019-02-20,Financing conditions for businesses and households tightened a bit further over the intermeeting period but remained generally supportive of spending.,neutral,neutral,neutral
12404,2019-02-20,"Participants commented on a number of risks associated with their outlook for economic activity, the labor market, and inflation over the medium term.",negative,negative,negative
12405,2019-05-22,The staff also noted that the sustained growth of lending by banks to nonbank financial firms represented an increase in financial interconnectedness.,positive,neutral,neutral
12406,2019-08-21,"Moreover, the possibility of favorable outcomes of trade negotiations could be a factor that would provide a boost to economic activity in the future.",positive,neutral,neutral
12407,2019-10-09,"Consumer credit expanded at a moderate pace in the second quarter overall, with bank credit data pointing to continued growth through July and August.",positive,neutral,neutral
12408,2020-02-19,"Late in the period, equity prices retraced some of their gains, as concerns about the spread of the coronavirus weighed nagativeely on risk sentiment.",negative,neutral,neutral
12409,2020-05-20,"A sharp reduction in global demand for petroleum had led to unused supply that was overwhelming storage capacity, resulting in a plunge in oil prices.",negative,neutral,neutral
12410,2020-05-20,"In this way, these emergency lending facilities were intended to help support the economy until pandemic-related credit market disruptions had abated.",neutral,neutral,neutral
12411,2020-07-01,"Financial conditions had improved, in part reflecting policy measures to support the economy and the flow of credit to U.S. households and businesses.",positive,neutral,neutral
12412,2020-08-19,"While the S&P 500 index was little changed, the effect of renewed outbreaks was evident in the differentiated performance across S&P industry sectors.",negative,neutral,neutral
12414,2020-08-19,The consumer sentiment measures from both the Michigan survey and the Conference Board survey improved notably in June but fell back somewhat in July.,positive,neutral,neutral
12415,2020-08-19,The July SLOOS and other surveys of mortgage market conditions suggested that both bank and nonbank lenders tightened standards in the second quarter.,negative,neutral,neutral
12416,2020-10-07,The information available at the time of the September 15??6 meeting suggested that U.S. real GDP was rebounding at a rapid rate in the third quarter.,positive,neutral,neutral
12417,2020-10-07,"However, the credit quality of municipal debt deteriorated somewhat, driven by a relatively large volume of credit rating downgrades of revenue bonds.",negative,neutral,neutral
12418,2020-10-07,"Allthough business contacts indicated that overall business activity had been stronger than they expected, it remained well below pre-pandemic levels.",negative,neutral,neutral
12419,2020-11-25,Expectations for the economic conditions that will prevail when the FOMC first lifts the target range were little changed since the September surveys.,neutral,neutral,neutral
12420,2021-02-17,"Gross corporate bond issuance was fairly strong in November and December, and seasoned and initial public offerings in the equity markets were robust.",positive,neutral,neutral
12421,2021-02-17,"With the economy still far from those goals, participants judged that it was likely to take some time for substantial further progress to be achieved.",negative,neutral,neutral
12422,2021-04-07,"Construction permits for single-family homes moved down, on net, over January and February, pointing to some slowing in construction in coming months.",negative,neutral,neutral
12423,2021-04-07,"There continued to be no participation in the Federal Reserve's repo operations, but participation in the Federal Reserve's ON RRP increased a little.",neutral,neutral,neutral
12424,2021-05-19,These minor technical adjustments would have no implications for the effects of the Federal Reserve's asset purchases on overall financial conditions.,neutral,neutral,neutral
12425,2021-07-07,Participants agreed that this technical adjustment had no bearing on the appropriate path for the federal funds rate or the stance of monetary policy.,neutral,neutral,neutral
12426,2021-10-13,Developments in Financial Markets and Open Market OperationsThe manager turned first to a discussion of financial market developments over the period.,neutral,neutral,neutral
12427,2021-10-13,"Participants observed that economic activity had continued to expand in recent months, though at a less rapid pace than in the first half of the year.",positive,neutral,neutral
12428,2021-11-24,"In the residential mortgage market, financing conditions remained accommodative, particularly for borrowers who met standard conforming loan criteria.",positive,neutral,neutral
12429,2021-11-24,"As a result, the 12-month change in PCE prices was projected to move up further relative to September's pace and to end the year well above 2 percent.",neutral,neutral,negative
12430,2021-11-24,Increase holdings of Treasury securities and agency MBS by additional amounts as needed to sustain smooth functioning of markets for these securities.,neutral,neutral,neutral
12431,2021-11-24,"The sectors most adversely affected by the pandemic have improved in recent months, but the summer's rise in COVID-19 cases has slowed their recovery.",negative,neutral,neutral
12432,2022-01-05,Developments in Financial Markets and Open Market OperationsThe manager turned first to a discussion of financial market developments over the period.,neutral,neutral,neutral
12433,2022-01-05,"Shortages of construction materials appeared to have hampered building completions, and there was limited availability of lots ready for construction.",negative,neutral,neutral
12434,2022-01-05,Increase holdings of Treasury securities and agency MBS by additional amounts as needed to sustain smooth functioning of markets for these securities.,neutral,neutral,neutral
12435,2022-02-16,"Even so, an improvement in supply conditions and a decline in consumer energy prices were expected to slow PCE price inflation to 2.6 percent in 2022.",neutral,neutral,neutral
12436,2022-02-16,Increase holdings of Treasury securities and agency MBS by additional amounts as needed to sustain smooth functioning of markets for these securities.,neutral,neutral,neutral
12437,2022-05-25,The staff noted that leverage at key nonbank financial institutions (NBFIs) was elevated and that bank lending to NBFIs continued to increase notably.,positive,neutral,neutral
12438,2022-07-06,"The manager noted that, if ON RRP usage continued to rise, it may be appropriate at some point to consider further lifting the per-counterparty limit.",neutral,neutral,neutral
12439,2022-07-06,"Gross nonfinancial corporate bond issuance slowed in May, especially among speculative-grade issuers, amid elevated market volatility and high yields.",negative,neutral,neutral
12440,2022-07-06,This development reversed a pattern of loan loss reserves being released throughout last year and reflected concerns about the credit quality outlook.,negative,neutral,neutral
12441,2022-08-17,"The private-sector job openings rate, as measured by the Job Openings and Labor Turnover Survey, declined further in May but remained at a high level.",neutral,negative,neutral
12442,2022-08-17,"Credit appeared to be available to most small businesses, although the share of small firms reporting that it was difficult to obtain loans increased.",negative,neutral,neutral
12443,2022-08-17,"As a result, while the projected level of real GDP remained above potential this year, the gap was expected to have closed by the second half of 2023.",positive,neutral,neutral
12444,2022-10-12,"Staff Review of the Financial SituationOver the intermeeting period, U.S. Treasury yields and the market-implied federal funds rate path moved higher.",neutral,neutral,neutral
12445,2022-10-12,"In their discussion of current economic conditions, participants noted that recent indicators had pointed to modest growth in spending and production.",positive,neutral,neutral
12446,2023-02-22,"Participants agreed that activity in the housing market had continued to weaken, largely reflecting the increase in mortgage rates over the past year.",negative,neutral,neutral
12447,2006-05-31,Measures of inflation compensation based on the difference between yields on nominal Treasury securities and inflation-indexed issues had edged higher.,neutral,neutral,negative
12448,2006-10-11,"The unemployment rate ticked back down to 4.7 percent in August, but it remained within the narrow band that prevailed since the beginning of the year.",neutral,positive,neutral
12449,2006-10-11,"In the household sector, debt expanded in the second quarter at a rate slightly below that in the first quarter, as mortgage debt decelerated somewhat.",neutral,neutral,neutral
12450,2006-10-11,"In the view of many participants, economic expansion would probably track close to the rate of growth of the economy's potential next year and in 2008.",positive,neutral,neutral
12451,2007-10-09,"More generally, surveys of business conditions suggested that increases in business activity were somewhat slower in August than in the second quarter.",negative,neutral,neutral
12452,2007-11-20,"Core consumer price inflation remained moderate in August and September and, on a twelve-month change basis, was down noticeably from a year earlier.  ",neutral,neutral,positive
12453,2007-11-20,"Early in the intermeeting period, the functioning of short-term funding markets improved somewhat, but conditions in these markets remained strained.  ",negative,neutral,neutral
12454,2007-11-20,"Nonetheless, the potential for significant further weakening in housing activity and home prices represented a downside risk to the economic outlook.  ",negative,neutral,neutral
12455,2008-02-20,"To provide means for meeting System and Treasury commitments in particular currencies, and to facilitate operations of the Exchange Stabilization Fund.",neutral,neutral,neutral
12456,2008-04-08,"Real disposable personal income was unchanged in the fourth quarter, held down by higher food and energy prices, and moved up only slightly in January.",neutral,neutral,negative
12457,2008-07-16,"Headline consumer price inflation in the United States remained elevated in April and May, mostly because of large increases in food and energy prices.",neutral,neutral,negative
12458,2008-08-26,"Headline consumer price inflation in the United States stepped up in recent months, largely as a result of sizable increases in food and energy prices.",neutral,neutral,negative
12459,2008-08-26,"While some financial institutions had strengthened their balance sheets with new capital issues, raising new capital had become increasingly difficult.",negative,neutral,neutral
12460,2008-08-26,"Tight credit conditions, the ongoing housing contraction, and elevated energy prices are likely to weigh on economic growth over the next few quarters.",negative,neutral,neutral
12461,2008-10-07,"In the business sector, investment in equipment and software fell in the second quarter, largely reflecting a sharp drop in spending on motor vehicles.",negative,neutral,neutral
12462,2008-11-19,The failure or near failure of a number of major financial institutions had deepened market concerns about counterparty credit risk and liquidity risk.,negative,neutral,neutral
12463,2008-11-19,"Moreover, households, like businesses, were reportedly reacting to the shifting economic circumstances in recent weeks by cutting expenditures further.",negative,neutral,neutral
12464,2009-01-06,"Gross issuance of bonds by nonfinancial investment-grade companies continued at a solid pace, but issuance of speculative-grade bonds remained at zero.",negative,neutral,neutral
12465,2009-02-18,"To provide means for meeting System and Treasury commitments in particular currencies, and to facilitate operations of the Exchange Stabilization Fund.",neutral,neutral,neutral
12466,2009-02-18,"Output in high-tech sectors contracted in the fourth quarter, reflecting reduced production of semiconductors, communications equipment, and computers.",negative,neutral,neutral
12469,2009-04-08,Several members felt that the significant deterioration in the economic outlook merited a very substantial increase in purchases of longer-term assets.,negative,neutral,neutral
12470,2009-05-20,"Looking further ahead, participants considered a number of factors that would be likely to restrain the pace of economic recovery over the medium term.",negative,neutral,neutral
12471,2009-07-15,Ensuring that policy accommodation can ultimately be withdrawn smoothly and at the appropriate time would remain a top priority of the Federal Reserve.,neutral,neutral,neutral
12472,2009-07-15,Real spending on equipment outside of high-tech and transportation seemed to have dropped less rapidly in the second quarter than in the first quarter.,negative,neutral,neutral
12473,2009-07-15,"With the recovery projected to be rather sluggish, most participants anticipated that the employment situation was likely to be downbeat for some time.",negative,negative,neutral
12474,2009-09-02,"Median year-ahead inflation expectations in the Reuters/University of Michigan Survey of Consumers held relatively steady in July, as in recent months.",neutral,neutral,neutral
12475,2009-09-02,"Subsequently, investors revised down the expected policy path after the June employment report and the Chairman's semiannual monetary policy testimony.",neutral,neutral,neutral
12476,2009-09-02,Large fractions of respondents to the July survey again noted that they had tightened standards and that the demand for CRE loans had weakened further.,negative,neutral,neutral
12477,2009-10-14,"Core consumer price inflation continued to be subdued in July and August, but higher gasoline prices raised overall consumer price inflation in August.",neutral,neutral,negative
12479,2009-11-24,"Conditions in the secondary market for leveraged syndicated loans continued to improve, as secondary-market prices rose and bid-asked spreads narrowed.",positive,neutral,neutral
12481,2010-02-17,"To provide means for meeting System and Treasury commitments in particular currencies, and to facilitate operations of the Exchange Stabilization Fund.",neutral,neutral,neutral
12482,2010-02-17,All agreed that raising the IOER rate and the target for the federal funds rate would be a key element of a move to less accommodative monetary policy.,neutral,neutral,neutral
12483,2010-02-17,"Participants recognized, however, that the supply of reserve balances would need to be reduced considerably to lift the funds rate above the IOER rate.",neutral,neutral,neutral
12484,2010-05-19,"Despite the strength of exports, merchandise trade balances declined for some countries where strong domestic demand caused imports to outpace exports.",neutral,neutral,neutral
12485,2010-05-19,The latest readings on core inflation--which exclude the relatively volatile prices of food and energy--were generally lower than they had anticipated.,neutral,neutral,neutral
12486,2010-07-14,"With private final demand having strengthened, inventory adjustments and fiscal stimulus were no longer the main factors supporting economic expansion.",positive,neutral,neutral
12487,2010-07-14,"However, inflation expectations were seen by most participants as well anchored, which would tend to curb any tendency for actual inflation to decline.",neutral,neutral,neutral
12488,2010-08-31,"However, investor demand for high-quality commercial mortgage-backed securities (CMBS) reportedly was robust, although issuance of CMBS remained muted.",neutral,neutral,neutral
12489,2010-08-31,"Household spending is increasing gradually, but remains constrained by high unemployment, modest income growth, lower housing wealth, and tight credit.",positive,negative,neutral
12490,2010-10-12,"Meanwhile, nonfinancial commercial paper outstanding contracted as very low yields on corporate bonds led to some substitution toward longer-term debt.",neutral,neutral,neutral
12491,2010-10-12,"The pace of initial public offerings and seasoned equity offerings by nonfinancial firms slowed in August, partly reflecting typical seasonal patterns.",neutral,neutral,neutral
12492,2010-10-12,"In reaction, the yen depreciated about 3 percent against the dollar, essentially reversing its rise over the preceding part of the intermeeting period.",neutral,neutral,neutral
12493,2010-10-12,Asset prices had been relatively sensitive to incoming economic data over the intermeeting period but generally ended the period little changed on net.,neutral,neutral,neutral
